Province_State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20
Massachusetts,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,10.0,10.0,9.0,4.0,8.0,33.0,33.0,32.0,38.0,24.0,15.0,29.0,96.0,77.0,70.0,96.0,87.0,70.0,88.0,0.0,264.0,0.0,137.0,159.0,302.0,0.0,255.0,221.0,178.0,196.0,174.0,169.0,104.0,150.0,252.0,157.0,154.0,130.0,158.0,86.0,122.0,208.0,132.0,150.0,138.0,139.0,129.0,33.0,174.0,167.0,110.0,113.0,92.0,65.0,76.0,128.0,82.0,80.0,76.0,68.0,44.0,57.0,74.0,93.0,78.0,50.0,78.0,189.0,50.0,67.0,49.0,34.0,54.0,27.0,37.0,55.0,46.0,38.0,46.0,38.0,48.0,23.0,17.0,69.0
Michigan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,6.0,13.0,20.0,20.0,36.0,23.0,27.0,56.0,79.0,78.0,83.0,65.0,67.0,90.0,118.0,124.0,120.0,127.0,207.0,116.0,105.0,132.0,175.0,157.0,80.0,239.0,85.0,91.0,86.0,109.0,241.0,170.0,110.0,72.0,166.0,93.0,168.0,103.0,122.0,78.0,155.0,34.0,87.0,46.0,74.0,91.0,58.0,143.0,26.0,29.0,92.0,41.0,74.0,39.0,56.0,10.0,24.0,102.0,46.0,70.0,29.0,65.0,6.0,13.0,27.0,68.0,38.0,34.0,58.0,27.0,27.0,37.0,18.0,26.0,70.0,7.0,11.0,15.0,9.0,1.0,33.0,5.0,23.0,3.0,2.0,16.0,2.0
Minnesota,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0,11.0,7.0,7.0,6.0,0.0,9.0,8.0,0.0,24.0,10.0,13.0,9.0,17.0,19.0,21.0,21.0,23.0,28.0,14.0,15.0,18.0,24.0,27.0,24.0,24.0,9.0,28.0,30.0,23.0,26.0,24.0,20.0,13.0,23.0,24.0,34.0,20.0,17.0,22.0,9.0,17.0,29.0,32.0,33.0,10.0,17.0,12.0,18.0,34.0,35.0,29.0,30.0,14.0,10.0,22.0,15.0,29.0,33.0,22.0,16.0,11.0,20.0,39.0,13.0,25.0,9.0,15.0,6.0,9.0,13.0
Mississippi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,6.0,8.0,8.0,9.0,7.0,9.0,6.0,11.0,3.0,2.0,13.0,11.0,7.0,11.0,12.0,7.0,10.0,14.0,10.0,8.0,8.0,12.0,6.0,2.0,10.0,11.0,11.0,20.0,10.0,12.0,7.0,32.0,32.0,22.0,13.0,12.0,9.0,5.0,22.0,8.0,15.0,13.0,17.0,11.0,6.0,27.0,16.0,10.0,15.0,21.0,9.0,10.0,17.0,18.0,23.0,17.0,13.0,11.0,5.0,28.0,15.0,12.0,9.0,8.0,6.0,20.0,10.0,21.0,0.0,13.0,8.0,2.0,4.0,20.0,23.0
Missouri,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,5.0,8.0,13.0,6.0,13.0,8.0,20.0,15.0,16.0,10.0,12.0,12.0,10.0,18.0,17.0,14.0,13.0,7.0,6.0,21.0,18.0,20.0,16.0,26.0,14.0,17.0,21.0,14.0,15.0,19.0,14.0,15.0,12.0,11.0,29.0,15.0,23.0,21.0,11.0,11.0,17.0,10.0,21.0,12.0,15.0,11.0,7.0,16.0,15.0,11.0,9.0,9.0,7.0,3.0,5.0,7.0,0.0,13.0,5.0,18.0,2.0,1.0,10.0,6.0,2.0,7.0,8.0,2.0,4.0,8.0,3.0,0.0,16.0,4.0,0.0,2.0,4.0,18.0
Montana,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Nebraska,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,4.0,5.0,0.0,5.0,9.0,3.0,0.0,6.0,0.0,0.0,0.0,14.0,3.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,2.0,21.0,3.0,0.0,0.0,5.0,11.0,3.0
Nevada,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,11.0,5.0,7.0,5.0,3.0,0.0,0.0,26.0,0.0,9.0,9.0,12.0,10.0,2.0,12.0,5.0,6.0,5.0,9.0,7.0,1.0,4.0,9.0,23.0,2.0,8.0,1.0,0.0,13.0,11.0,13.0,3.0,9.0,3.0,7.0,5.0,19.0,8.0,0.0,19.0,0.0,2.0,9.0,10.0,2.0,10.0,4.0,3.0,8.0,0.0,19.0,6.0,3.0,1.0,0.0,14.0,0.0,8.0,4.0,0.0,11.0,0.0,0.0,0.0,14.0,0.0,6.0,1.0,1.0,4.0,4.0,3.0,10.0,2.0,1.0,1.0,2.0,2.0,6.0
New Hampshire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,8.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,5.0,1.0,0.0,4.0,0.0,6.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,12.0,9.0,3.0,2.0,0.0,6.0,0.0,22.0,7.0,10.0,2.0,0.0,9.0,8.0,1.0,0.0,20.0,1.0,0.0,0.0,18.0,9.0,5.0,4.0,1.0,1.0,4.0,9.0,9.0,6.0,0.0,7.0,0.0,11.0,9.0,8.0,5.0,5.0,3.0,0.0,0.0,15.0,7.0,7.0,3.0,2.0,0.0,6.0,4.0
New Jersey,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,5.0,4.0,7.0,17.0,18.0,19.0,27.0,32.0,21.0,37.0,69.0,88.0,182.0,109.0,200.0,71.0,86.0,229.0,272.0,205.0,223.0,251.0,167.0,93.0,362.0,351.0,362.0,322.0,230.0,292.0,134.0,257.0,397.0,276.0,257.0,231.0,24.0,106.0,398.0,329.0,457.0,310.0,204.0,129.0,39.0,334.0,305.0,258.0,153.0,156.0,140.0,84.0,191.0,183.0,232.0,202.0,113.0,102.0,76.0,148.0,162.0,97.0,139.0,97.0,56.0,9.0,47.0,145.0,70.0,122.0,103.0,64.0,25.0,48.0,109.0,90.0,79.0,57.0,70.0,38.0,89.0,74.0,66.0,46.0,132.0,38.0,49.0,84.0,43.0
