Province_State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20
Alabama,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,13.0,4.0,5.0,6.0,6.0,1.0,4.0,15.0,2.0,4.0,10.0,12.0,1.0,6.0,15.0,4.0,15.0,15.0,5.0,4.0,6.0,20.0,13.0,6.0,7.0,0.0,10.0,9.0,14.0,14.0,16.0,17.0,0.0,2.0,8.0,17.0,28.0,26.0,14.0,7.0,3.0,10.0,32.0,15.0,23.0,10.0,2.0,3.0,1.0,15.0,18.0,7.0,12.0,8.0,2.0,15.0,14.0,3.0,8.0,19.0,8.0,12.0,16.0,7.0,0.0,0.0,23.0,13.0,3.0,26.0,11.0,15.0,11.0,14.0,4.0,0.0,1.0,11.0,5.0,20.0,12.0,16.0,1.0,2.0,23.0,27.0,5.0,11.0,12.0,0.0,10.0,21.0,22.0,13.0,21.0,1.0,0.0,0.0,26.0,25.0,10.0,36.0,10.0,7.0,3.0,40.0,47.0,19.0,35.0,21.0,1.0,4.0,12.0,61.0,33.0,41.0,18.0,17.0,18.0,0.0,47.0,27.0,15.0,23.0,24.0,6.0,33.0,29.0,19.0,21.0,20.0,13.0
Alaska,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Arizona,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,5.0,7.0,3.0,9.0,8.0,12.0,1.0,8.0,16.0,9.0,8.0,11.0,8.0,7.0,11.0,12.0,9.0,19.0,0.0,4.0,7.0,17.0,23.0,18.0,17.0,7.0,2.0,0.0,0.0,33.0,12.0,10.0,0.0,32.0,0.0,33.0,31.0,24.0,67.0,15.0,4.0,6.0,20.0,33.0,29.0,27.0,28.0,1.0,7.0,18.0,42.0,17.0,11.0,26.0,0.0,6.0,3.0,24.0,26.0,26.0,18.0,3.0,11.0,25.0,40.0,16.0,16.0,28.0,8.0,2.0,23.0,25.0,34.0,21.0,33.0,2.0,12.0,25.0,21.0,34.0,38.0,25.0,3.0,2.0,45.0,71.0,28.0,41.0,44.0,14.0,4.0,47.0,80.0,39.0,34.0,19.0,8.0,4.0,98.0,36.0,75.0,44.0,69.0,86.0,9.0,91.0,97.0,58.0,91.0,147.0,31.0,23.0,134.0,56.0,89.0,80.0,143.0,19.0,0.0,104.0,46.0,172.0,68.0,53.0,18.0,14.0,66.0,87.0,70.0,79.0,56.0,13.0
Arkansas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,6.0,0.0,4.0,3.0,8.0,4.0,4.0,3.0,4.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,7.0,1.0,0.0,0.0,3.0,6.0,9.0,1.0,2.0,0.0,1.0,6.0,4.0,6.0,5.0,1.0,2.0,3.0,6.0,9.0,11.0,6.0,10.0,1.0,2.0,10.0,3.0,0.0,9.0,10.0,5.0,1.0,5.0,7.0,2.0,2.0,5.0,1.0,5.0,9.0,4.0,4.0,4.0,6.0,2.0,2.0,8.0,4.0,6.0,12.0,4.0,0.0,6.0,11.0,6.0,6.0,8.0,5.0,2.0,7.0,20.0,6.0,8.0,11.0,5.0,6.0,11.0,15.0,18.0,7.0,6.0,14.0,9.0
California,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,2.0,6.0,1.0,5.0,9.0,11.0,15.0,16.0,13.0,16.0,14.0,22.0,27.0,26.0,39.0,27.0,24.0,59.0,32.0,52.0,63.0,49.0,39.0,21.0,36.0,74.0,53.0,93.0,96.0,81.0,103.0,37.0,48.0,57.0,139.0,112.0,88.0,68.0,36.0,54.0,85.0,82.0,85.0,95.0,54.0,36.0,62.0,103.0,83.0,71.0,78.0,74.0,29.0,63.0,100.0,78.0,95.0,84.0,72.0,32.0,39.0,124.0,94.0,86.0,82.0,72.0,16.0,15.0,50.0,76.0,99.0,84.0,67.0,28.0,45.0,88.0,69.0,70.0,85.0,78.0,25.0,25.0,88.0,109.0,80.0,44.0,98.0,23.0,15.0,86.0,71.0,84.0,71.0,68.0,21.0,51.0,60.0,99.0,81.0,62.0,31.0,33.0,51.0,99.0,87.0,96.0,50.0,19.0,39.0,68.0,132.0,145.0,141.0,96.0,72.0,24.0,38.0,161.0,125.0,114.0,114.0,99.0,13.0,55.0,118.0,159.0,154.0,136.0,71.0,40.0,46.0,185.0,229.0,118.0,188.0,131.0,51.0,45.0,243.0,124.0,213.0,112.0,174.0,70.0
Colorado,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,9.0,0.0,12.0,13.0,3.0,4.0,18.0,10.0,18.0,14.0,15.0,14.0,10.0,29.0,14.0,33.0,24.0,24.0,15.0,17.0,21.0,27.0,18.0,17.0,22.0,9.0,27.0,36.0,23.0,46.0,122.0,10.0,4.0,18.0,30.0,30.0,11.0,44.0,11.0,10.0,9.0,52.0,16.0,25.0,16.0,7.0,4.0,16.0,23.0,52.0,24.0,64.0,42.0,23.0,9.0,33.0,42.0,11.0,14.0,3.0,5.0,1.0,19.0,40.0,29.0,15.0,7.0,2.0,13.0,16.0,20.0,18.0,12.0,3.0,0.0,16.0,10.0,19.0,10.0,0.0,15.0,1.0,7.0,12.0,14.0,7.0,5.0,4.0,0.0,4.0,14.0,2.0,2.0,4.0,1.0,2.0,5.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,5.0,8.0,2.0,18.0,1.0,0.0,2.0,11.0,6.0,1.0,6.0,1.0,0.0,6.0,5.0,8.0,15.0,4.0,4.0,0.0,5.0,8.0,15.0,0.0,16.0,6.0,0.0,0.0,5.0,2.0,1.0,5.0,0.0,1.0
Connecticut,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,7.0,2.0,6.0,6.0,1.0,2.0,33.0,16.0,27.0,19.0,34.0,24.0,17.0,71.0,49.0,54.0,68.0,46.0,60.0,48.0,69.0,197.0,103.0,65.0,50.0,41.0,204.0,92.0,121.0,95.0,128.0,98.0,59.0,88.0,75.0,82.0,88.0,82.0,97.0,0.0,120.0,77.0,85.0,79.0,77.0,58.0,35.0,41.0,33.0,84.0,94.0,66.0,54.0,69.0,42.0,22.0,57.0,54.0,54.0,38.0,18.0,49.0,27.0,34.0,23.0,42.0,44.0,32.0,26.0,2.0,17.0,18.0,31.0,17.0,16.0,13.0,13.0,23.0,26.0,13.0,27.0,15.0,3.0,6.0,9.0,7.0,12.0,13.0,9.0,3.0,14.0,10.0,11.0,9.0,4.0,5.0,4.0,2.0,2.0,2.0,9.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,23.0,1.0,8.0,9.0,7.0,0.0,0.0,10.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,5.0,2.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0
Delaware,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,9.0,1.0,2.0,6.0,2.0,3.0,9.0,6.0,6.0,0.0,5.0,10.0,7.0,3.0,8.0,12.0,8.0,5.0,12.0,7.0,8.0,7.0,9.0,9.0,5.0,5.0,6.0,9.0,11.0,8.0,0.0,4.0,12.0,10.0,13.0,11.0,15.0,4.0,7.0,7.0,6.0,7.0,5.0,0.0,4.0,6.0,3.0,9.0,1.0,11.0,5.0,5.0,2.0,5.0,2.0,11.0,2.0,2.0,8.0,0.0,12.0,3.0,1.0,0.0,5.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,69.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,49.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0
District of Columbia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,3.0,6.0,1.0,2.0,0.0,5.0,5.0,6.0,9.0,3.0,2.0,15.0,5.0,9.0,5.0,5.0,5.0,9.0,7.0,15.0,12.0,14.0,12.0,13.0,7.0,5.0,15.0,19.0,7.0,9.0,11.0,7.0,6.0,13.0,8.0,19.0,7.0,12.0,5.0,8.0,14.0,8.0,10.0,7.0,8.0,9.0,8.0,7.0,5.0,6.0,9.0,5.0,8.0,0.0,5.0,8.0,7.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,6.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,0.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
Florida,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,0.0,5.0,6.0,6.0,19.0,2.0,7.0,22.0,2.0,77.0,6.0,25.0,26.0,15.0,47.0,26.0,45.0,36.0,48.0,23.0,38.0,72.0,25.0,72.0,57.0,23.0,26.0,48.0,45.0,26.0,94.0,59.0,9.0,20.0,13.0,83.0,47.0,50.0,46.0,50.0,15.0,20.0,72.0,68.0,61.0,69.0,46.0,6.0,14.0,44.0,48.0,48.0,42.0,47.0,9.0,24.0,55.0,44.0,48.0,46.0,43.0,4.0,15.0,7.0,60.0,45.0,49.0,34.0,4.0,9.0,70.0,36.0,41.0,53.0,28.0,12.0,12.0,53.0,36.0,47.0,29.0,48.0,6.0,7.0,55.0,25.0,43.0,43.0,40.0,17.0,12.0,65.0,43.0,46.0,39.0,24.0,29.0,28.0,58.0,45.0,67.0,67.0,18.0,29.0,47.0,63.0,48.0,120.0,93.0,95.0,45.0,35.0,132.0,112.0,156.0,128.0,90.0,87.0,90.0,134.0,139.0,173.0,135.0,124.0,77.0,77.0,186.0,216.0,253.0,257.0,179.0,62.0,73.0,245.0,225.0,120.0,180.0,182.0,77.0
